	URL
104	https://rever.vn/mua/ban-can-ho-rivergate-residence-1-phong-ngu-dien-tich-26m2-day-du-noi-that
105	https://rever.vn/mua/ban-can-ho-diamond-island-dao-kim-cuong-2pn-dien-tich-101m2-noi-that-co-ban-can-goc-view-2-mat-song
106	https://rever.vn/mua/can-ho-topaz-elite-tang-cao-don-ban-cong-huong-dong-nam
107	https://rever.vn/mua/ban-can-ho-3-phong-ngu-saigon-south-residence-ban-cong-huong-nam-nha-trong
108	https://rever.vn/mua/ban-nha-pho-duong-so-33-noi-that-co-ban-so-hong-day-du
109	https://rever.vn/mua/biet-thu-huong-nam-hem-xe-hoi-noi-that-co-ban
110	https://rever.vn/mua/can-ho-officetel-vinhomes-golden-river-tang-cao-view-thanh-pho
111	https://rever.vn/mua/mls-nha-pho-huong-dong-bac-dien-tich-44m2-noi-that-co-ban
112	https://rever.vn/mua/can-ho-vinhomes-grand-park-tang-thap-thiet-ke-hien-dai
113	https://rever.vn/mua/mls-nha-pho-1-tret-1-lau-huong-dong-bac-hem-rong-8m
114	https://rever.vn/mua/can-ho-cao-cap-homyland-riverside-huong-dong-nam-day-du-noi-that
115	https://rever.vn/mua/nha-pho-2-mat-hem-quan-go-vap-co-so-hong-rieng-khu-dan-cu-an-ninh
116	https://rever.vn/mua/can-ho-officetel-kingston-residence-noi-that-van-phong-day-du
117	https://rever.vn/mua/ban-can-ho-vinhomes-golden-river-1pn-tang-6-day-du-noi-that-ban-cong-dong-bac
118	https://rever.vn/mua/can-ho-view-thanh-pho-the-sun-avenue-tang-trung-2-phong-ngu-dien-tich-76m2
119	https://rever.vn/mua/can-ho-officetel-kingston-residence-ban-cong-huong-tay-nam
120	https://rever.vn/mua/can-ho-vinhomes-grand-park-tang-trung-thiet-ke-hien-dai-1
121	https://rever.vn/mua/ban-can-ho-vinhomes-central-park-3-phong-ngu-tang-cao-view-song-thap-park-1-moi-100
122	https://rever.vn/mua/ban-office-tel-sunshine-city-saigon-ban-cong-huong-dong-nam
123	https://rever.vn/mua/ban-can-ho-jamila-khang-dien-tang-thap-dien-tich-80-7m2-2-phong-ngu-day-du-noi-that
124	https://rever.vn/mua/can-ho-picity-high-park-noi-that-co-ban-thoang-mat
125	https://rever.vn/mua/can-ho-tang-22-q7-saigon-riverside-noi-that-co-ban
126	https://rever.vn/mua/can-ho-saigon-royal-day-du-noi-that-view-noi-khu-ho-boi-1
127	https://rever.vn/mua/nha-pho-huong-tay-nam-hem-rong-3-5m-gan-san-bay-tan-son-nhat
128	https://rever.vn/mua/can-ho-the-sun-avenue-day-du-noi-that-hien-dai-view-noi-khu-ho-boi
129	https://rever.vn/mua/can-ho-tang-trung-d-lusso-noi-that-co-ban-view-thoang-mat
130	https://rever.vn/mua/can-ho-orchard-garden-tang-cao-ban-cong-dong-nam-view-cuc-dep
131	https://rever.vn/mua/can-ho-celadon-city-huong-tay-nam-day-du-noi-that-sang-trong
132	https://rever.vn/mua/mls-can-ho-terra-rosa-tang-11-ban-giao-nha-day-du-noi-that
133	https://rever.vn/mua/can-ho-city-gate-3-tang-cao-ban-giao-noi-that-co-ban
134	https://rever.vn/mua/can-ho-sunrise-riverside-tang-trung-view-noi-khu-thoang-dang
135	https://rever.vn/mua/can-ho-q7-saigon-riverside-tang-28-view-noi-khu
136	https://rever.vn/mua/can-ho-masteri-thao-dien-view-ho-boi-mat-me-noi-that-sang-trong
137	https://rever.vn/mua/can-ho-saigon-south-residence-ban-giao-tho-ban-cong-huong-tay
138	https://rever.vn/mua/can-ho-vinhomes-grand-park-tang-thap-noi-that-co-ban
139	https://rever.vn/mua/ban-can-ho-diamond-island-nhin-ve-landmark-81-day-du-noi-that
140	https://rever.vn/mua/can-ho-vinhomes-central-park-tang-cao-park-6-thiet-ke-dep-hien-dai
141	https://rever.vn/mua/can-ho-tang-trung-conic-riverside-voi-view-thoang-mat
142	https://rever.vn/mua/can-ho-masteri-millennium-ban-cong-huong-dong-bac-thoang-mat
143	https://rever.vn/mua/mls-can-ho-vision-binh-tan-huong-dong-nam-day-du-noi-that
144	https://rever.vn/mua/can-ho-studio-gateway-thao-dien-tang-6-day-du-noi-that-hien-dai
145	https://rever.vn/mua/can-ho-an-gia-riverside-day-du-noi-that-ban-cong-thoang-mat
146	https://rever.vn/mua/ban-nha-cach-cau-bang-ky-100m-so-hong-day-du-dien-tich-dat-63-5m2
147	https://rever.vn/mua/can-ho-d-lusso-tang-thap-noi-that-co-ban-view-don-gio-thoang-mat
148	https://rever.vn/mua/can-ho-chung-cu-nguyen-hue-tang-trung-ngay-pho-di-bo
149	https://rever.vn/mua/can-ho-view-thanh-pho-topaz-elite-tang-cao-noi-that-co-ban
